,Cycle number,Profile number,Phase number,1st sample date,Pressure (dbar),Channel 1 a (Count),Channel 2 (Count)
204,1,0,5,2021-11-16 14:22:23,5.8,1249.0,4130.0
205,1,0,5,2021-11-16 14:22:23,5.8,1248.0,4130.0
206,1,0,5,2021-11-16 14:22:23,5.8,1248.0,4130.0
207,1,0,5,2021-11-16 14:22:23,5.8,1248.0,4130.0
208,1,0,5,2021-11-16 14:22:23,5.8,1249.0,4130.0
209,1,0,5,2021-11-16 14:22:23,5.8,1248.0,4130.0
210,1,0,5,2021-11-16 14:22:23,5.8,1248.0,4130.0
211,1,0,5,2021-11-16 14:23:10,5.8,1248.0,4130.0
212,1,0,5,2021-11-16 14:23:10,5.8,1249.0,4130.0
213,1,0,5,2021-11-16 14:23:10,5.8,1247.0,4130.0
214,1,0,5,2021-11-16 14:23:10,5.8,1248.0,4130.0
215,1,0,5,2021-11-16 14:23:10,5.8,1248.0,4130.0
216,1,0,5,2021-11-16 14:23:10,5.8,1247.0,4130.0
217,1,0,5,2021-11-16 14:23:10,5.8,1247.0,4130.0
218,1,0,5,2021-11-16 14:23:10,5.8,1248.0,4130.0
219,1,0,5,2021-11-16 14:23:10,5.8,1248.0,4130.0
220,1,0,5,2021-11-16 14:23:10,5.8,1248.0,4130.0
221,1,0,5,2021-11-16 14:23:10,5.8,1247.0,4130.0
222,1,0,5,2021-11-16 14:23:10,5.8,1249.0,4130.0
223,1,0,5,2021-11-16 14:23:10,5.8,1247.0,4130.0
224,1,0,5,2021-11-16 14:23:10,5.8,1248.0,4130.0
225,1,0,5,2021-11-16 14:23:10,5.8,1248.0,4130.0
226,1,0,5,2021-11-16 14:23:10,5.8,1247.0,4130.0
227,1,0,5,2021-11-16 14:23:10,5.8,1247.0,4130.0
228,1,0,5,2021-11-16 14:23:10,5.8,1246.0,4130.0
229,1,0,5,2021-11-16 14:23:10,5.8,1247.0,4130.0
230,1,0,5,2021-11-16 14:23:10,5.8,1248.0,4130.0
231,1,0,5,2021-11-16 14:23:10,5.8,1247.0,4130.0
232,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
233,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
234,1,0,5,2021-11-16 14:23:58,5.8,1246.0,4130.0
235,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
236,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
237,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
238,1,0,5,2021-11-16 14:23:58,5.8,1246.0,4130.0
239,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
240,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
241,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
242,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
243,1,0,5,2021-11-16 14:23:58,5.8,1246.0,4130.0
244,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
245,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
246,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
247,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
248,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
249,1,0,5,2021-11-16 14:23:58,5.8,1246.0,4130.0
250,1,0,5,2021-11-16 14:23:58,5.8,1246.0,4130.0
251,1,0,5,2021-11-16 14:23:58,5.8,1247.0,4130.0
